Name,count_of_Earthquakes
CHINA,502
INDONESIA,377
IRAN,309
JAPAN,308
ITALY,252
TURKEY,228
PHILIPPINES,214
GREECE,205
CHILE,191
MEXICO,188
PERU,162
RUSSIA,148
CALIFORNIA,101
PAPUA NEW GUINEA,99
TAIWAN,95
INDIA,91
ALASKA,77
BALKANS NW,74
COLOMBIA,73
VENEZUELA,62
SOLOMON ISLANDS,61
NEW ZEALAND,60
ECUADOR,58
ALGERIA,54
AFGHANISTAN,53
VANUATU ISLANDS,50
PAKISTAN,50
ALBANIA,46
NICARAGUA,39
EL SALVADOR,35
GUATEMALA,35
FRANCE,31
MYANMAR (BURMA),27
COSTA RICA,25
AZORES,23
TAJIKISTAN,23
AUSTRALIA,22
ARGENTINA,20
NEW CALEDONIA,20
JAMAICA,19
MOROCCO,18
KERMADEC ISLANDS,18
FIJI ISLANDS,18
TONGA ISLANDS,17
SWITZERLAND,16
DOMINICAN REPUBLIC,16
BANGLADESH,16
CANADA,16
PANAMA,16
HAITI,16
SPAIN,16
BULGARIA,15
PUERTO RICO,15
ROMANIA,14
GUAM,14
CUBA,14
SOUTH AFRICA,14
ICELAND,14
ETHIOPIA,13
KYRGYZSTAN,13
AZERBAIJAN,13
SANRIKU,12
PORTUGAL,11
NEPAL,10
UZBEKISTAN,10
HONDURAS,10
HAWAII,10
GEORGIA,10
GUADELOUPE,9
MARTINIQUE,9
EGYPT,9
KAZAKHSTAN,9
UTAH,8
UNITED KINGDOM,8
GERMANY,8
SOUTH KOREA,8
UKRAINE,7
IRAQ,7
GREECE-ALBANIA,7
VIRGIN ISLANDS,7
ARMENIA,7
MONGOLIA,7
COSTA RICA-PANAMA,7
NEVADA,7
TRINIDAD,6
POLAND,6
BRAZIL,6
OKLAHOMA,6
ISRAEL,6
SAMOA ISLANDS,6
TANZANIA,6
NEW YORK,6
MONTANA,6
CONGO,6
BHUTAN,5
PANAMA-COSTA RICA,5
SOUTH SANDWICH ISLANDS,5
WASHINGTON,5
HUNGARY,5
MICRONESIA,5
TOKAIDO,5
GHANA,5
TURKMENISTAN,5
SW. SUMATRA,5
TUNISIA,5
S. MEXICO,5
TONGA TRENCH,5
ATLANTIC OCEAN,4
SYRIA,4
NEPAL-INDIA,4
PERU-ECUADOR,4
ALASKA PENINSULA,4
YEMEN,4
VANUATU,4
SEIKAIDO,4
MALAWI,4
AUSTRIA,4
SUDAN,4
INDIAN OCEAN,4
HAWAIIAN ISLANDS,4
RWANDA,4
SAUDI ARABIA,3
MISSOURI,3
MALAYSIA,3
BOLIVIA,3
MOZAMBIQUE,3
MYANMAR,3
PENNSYLVANIA,3
SE. HOKKAIDO ISLAND,3
