Year,Latitude,Longitude,Magnitude
1600,-16.8,-70.9,7.9
1600,-16.6,-70.8,8.1
1600,23.5,117.2,7
1600,14.6,121,
1601,14.6,121,
1601,46.8,8.5,6.2
1602,35.1,140.5,7.2
1603,18,-92.5,
1604,17,-96.3,
1604,-17.88,-70.94,8.5
1604,25,119.5,8
1604,-29.9,-71.3,
1604,35.5,25.5,
1605,33,134.9,7.9
1605,33.5,138.5,7.9
1605,19.9,110.5,7.5
1606,23.6,102.8,6.5
1608,17,-96.3,
1608,36.4,50.5,7.6
1608,42.4,18.7,
1608,42.4,18.7,
1608,42.4,18.5,
1609,39.2,99,7.3
1609,-11.9,-77.4,8.6
1609,38.6,16.3,
1610,8.3,-71.8,7.9
1610,47.5,7.5,
1610,17,122,
1611,19.5,-99.1,
1611,21.5,111.3,5.5
1611,19.5,-99.1,
1611,37.5,140,
1611,39,144.5,8.1
1611,35.1,58.9,
1612,38.8,20.8,
1612,35.5,25.5,
1613,37.2,127,6.3
1613,38.117,14.783,5.6
1613,35.3,25.1,
1614,38.4,-27,
1614,38.4,-24.1,
1614,37.2,112.5,6.5
1614,37.5,138,7.7
1615,44.9,35.5,5.7
1615,35.7,139.7,6.4
1615,18.5,-70,
1615,-18.5,-70.35,7.5
1616,46.8,8.4,
1616,38.1,142,7
1616,39,144.5,7.5
1616,36.1,37.1,
1618,37,111.9,6.5
1618,18.9,72.9,
1618,43.6,7.3,
1618,46.3,9.5,
1618,35,58,
1619,17,-96.3,
1619,-7.941,-79.038,8.6
1619,32.5,130.6,6.4
1619,18.2,121.6,
1619,52.3,14.6,
1620,10.8,122.5,
1620,40.9,71.4,5.8
1621,39.5,116.7,5.5
1621,8.6,-79.3,
1622,37.5,21,
1622,23,-103,
1622,46.8,10.3,
1622,46.8,10.3,
1622,36.5,106.3,7
1624,44.6,11.8,
1624,34,-4.6,
1625,38.8,20.8,
1626,38.8,16.4,
1626,39.4,114.2,7
1626,40.4,14.1,
1627,37.5,105.5,6
1627,-0.2,-78.5,
1627,41.733,15.35,6.7
1627,18.4,121.6,8
1628,46,15.5,5
1628,40.6,114.2,6.3
1628,13.2,123.7,
1629,36,25,7
1629,-4.6,129.9,
1629,53.6,12.3,
1630,32.6,104.1,6.3
1630,38.7,20.6,
1630,-12.2,-77.5,8.1
1630,-4.6,129.9,
1631,11.2,41.7,5.7
1631,35.3,104.3,6
1631,35.5,107.8,5
1631,29.3,111.7,6.5
1631,40.821,14.426,
1632,42.4,18.4,
1633,35.2,139.2,7.1
1633,-41.8,-73.8,
1633,37.5,21,6.9
1633,38,46.2,
1634,34.1,105.3,6
1634,30.7,115.1,5.5
1634,35.1,107.6,5.5
1636,38.1,20.3,7.2
1636,38.1,20.3,
1636,5.1,-2.2,5.7
1636,7.6,123.7,
1638,39.033,16.283,7
1638,39.25,16.75,
1639,36.2,50,
1639,42.5,18.1,
1639,42.6,13.3,
1639,-30,-71.4,
1640,38.2,46.3,5.1
1640,-1.7,-78.6,
1640,50.8,5.7,
1640,38.57,16.53,
1640,42.07,140.68,6.5
1640,23,117,
1640,45.9,15.5,
1641,18.2,121.7,
1641,-1.5,-78.5,7.6
1641,38,46.1,
1641,10.9,-66.7,
1641,23.5,116.5,5.8
1641,42.3,22.7,
1642,35.1,111.1,6
1642,35.2,140.6,6.7
1643,35.5,129.5,6.5
1644,7.5,-72.5,7
1644,43,8,
1644,7.6,-73,
1644,39.4,140.1,6.9
1645,-1.7,-78.6,7.5
1645,14.4,121,8
1645,14.4,121,
1646,38.3,43.2,
1646,43.55,10.317,5.2
1646,41.04,28.98,
1646,41.9,15.8,
1646,37.7,141.7,7.6
1647,-15.5,-75,
1647,-33.4,-70.6,8.5
1647,36,140,6.4
1648,38.3,43.2,
1648,45,14.9,
1648,12.5,-86.8,
1648,15,121,
1649,38.183,15.55,5
1649,35.5,140,
1649,35.5,126,6.5
1650,38,46.2,
1650,-13.5,-72,8.1
1650,36.4,25.4,
1651,,,
1652,42.1,47.7,5.8
1652,25.4,100.5,6.8
1653,38.2,28.2,7.5
1653,13.1,121.6,
1654,34.3,105.5,8
1654,41.4,13.6,
1654,40.1,3.6,
1654,-12.1,-76.6,
1655,35,25,
1655,-12.3,-77.6,7.7
1656,34.4,35.85,
1656,-12.5,-77,
1657,47.1,0.6,
1657,-36.83,-73.03,8
1657,31.5,103.6,6
1657,-33.5,-70.7,
1657,-3,128,
1657,-12.4,-76.8,
1658,39.4,115.7,6
1658,-8.1,-79,
1658,38,21,
1658,14.4,120.6,
1659,37.5,140,
1659,,,
1659,38.7,16.3,
1659,-6.92,129.125,
1660,38.4,22.4,
1660,43.1,0.2,
1660,-0.2,-78.5,7.7
1660,44.63,10.93,
1660,35.3,-2.97,
1661,23,120.2,6
1661,44.1,12,
1662,-0.2,-78.4,
1662,17,-96.3,
1662,35.5,136,
1662,31.7,132,7.6
1662,35,25,
1663,47.6,-70.1,
1663,12.4,-86.6,
1664,-14.1,-75.8,7.3
1664,35.5,127.1,6.3
1664,38.7,112.7,5.5
1664,38.1,46.3,
1665,35,25,
1665,35.4,52,
1665,14.6,121,
1666,37,138,
1666,35,136.8,6.4
1666,36,42.5,
1667,37.2,50,
1667,42.6,18.1,7.2
1667,18.8,-98,
1667,37.2,57.5,
1667,38.4,27.1,6.6
1667,40.6,48.6,6.9
1667,18.3,-77.5,
1667,25,125.5,6.7
1668,38,46.2,
1668,42.35,-71.05,
1668,24,68,
1668,38.4,27.1,6.6
1668,35.3,118.6,8.5
1668,38,126,6.4
1669,40.6,48.6,5.7
1669,37.6,15,
1669,,,
1670,47.2,11.4,
1670,33,122.5,6.8
1670,35.9,126.5,6.3
1670,35.5,141,6.4
1670,27.5,53.6,
1671,40.6,48.6,
